step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
38,PAYMENT,48466.03,C508210566,0.0,0.0,M1691403314,0.0,0.0,0.0,0.0
14,CASH_OUT,285367.68,C2144138292,49563.0,0.0,C1336018344,222067.44,319613.56,0.0,0.0
20,CASH_IN,50272.03,C1413197380,235672.14,285944.17,C1209477089,0.0,0.0,0.0,0.0
19,CASH_OUT,390959.54,C522423860,384382.0,0.0,C1043700885,1194606.16,1585565.7,0.0,0.0
21,CASH_OUT,136896.89,C1735170130,10114.0,0.0,C1450150251,7237916.92,7374813.8,0.0,0.0
20,CASH_OUT,514782.55,C19800282,85612.42,0.0,C784256742,597381.7,1112164.25,0.0,0.0
18,PAYMENT,1860.91,C1021766487,0.0,0.0,M1441386910,0.0,0.0,0.0,0.0
43,PAYMENT,20254.67,C824122073,14540.0,0.0,M1457241906,0.0,0.0,0.0,0.0
39,PAYMENT,7949.32,C883899800,13076.6,5127.28,M985608606,0.0,0.0,0.0,0.0
21,CASH_IN,174251.63,C1600979389,6391808.91,6566060.54,C745067909,1195098.68,1020847.06,0.0,0.0
43,CASH_OUT,337575.85,C520228802,0.0,0.0,C500640535,3966320.76,4303896.61,0.0,0.0
44,PAYMENT,8097.84,C2040229069,1413.89,0.0,M858805060,0.0,0.0,0.0,0.0
18,PAYMENT,8268.22,C163431576,0.0,0.0,M1279035905,0.0,0.0,0.0,0.0
37,PAYMENT,28907.8,C1306563684,16937.0,0.0,M1208800668,0.0,0.0,0.0,0.0
8,CASH_OUT,152466.62,C1975902483,131642.17,0.0,C380928130,1365979.31,1370666.37,0.0,0.0
36,CASH_IN,497902.85,C1394666800,189619.0,687521.85,C1727558428,852870.56,354967.71,0.0,0.0
22,PAYMENT,6970.8,C1595248092,0.0,0.0,M856864610,0.0,0.0,0.0,0.0
43,CASH_OUT,236996.72,C2113019255,298350.0,61353.28,C266243817,3979995.88,4216992.6,0.0,0.0
8,CASH_OUT,258452.62,C141032790,0.0,0.0,C1066166621,679905.01,938357.62,0.0,0.0
40,CASH_IN,209977.89,C1859760806,4954.0,214931.89,C1360458170,0.0,0.0,0.0,0.0
10,CASH_OUT,289838.68,C1112494492,0.0,0.0,C643021151,1566552.12,1687257.5,0.0,0.0
34,CASH_IN,17165.87,C174305647,15573835.35,15591001.22,C296960554,50467.0,33301.13,0.0,0.0
42,CASH_OUT,24044.6,C182825646,113449.0,89404.4,C534355465,66419.64,90464.23,0.0,0.0
9,PAYMENT,5.48,C1642300217,0.0,0.0,M1703338997,0.0,0.0,0.0,0.0
36,PAYMENT,19646.0,C1653605993,802.0,0.0,M1397935168,0.0,0.0,0.0,0.0
39,CASH_OUT,188460.52,C1184322761,35756.0,0.0,C1713895563,56923.61,245384.13,0.0,0.0
16,PAYMENT,2541.05,C1775263554,70659.0,68117.95,M1444937433,0.0,0.0,0.0,0.0
17,CASH_OUT,24011.15,C199428518,31069.0,7057.85,C1326930245,495305.85,698078.4,0.0,0.0
42,CASH_OUT,130712.16,C610302464,151242.0,20529.84,C699962845,477397.01,472330.24,0.0,0.0
8,CASH_OUT,382045.62,C1234288887,21370.0,0.0,C2012495678,0.0,218231.85,0.0,0.0
41,CASH_OUT,105471.96,C983822236,0.0,0.0,C1932890701,267004.59,372476.55,0.0,0.0
16,CASH_IN,79458.2,C1099241754,24303213.45,24382671.65,C96295638,524131.5,444673.29,0.0,0.0
43,CASH_OUT,141615.37,C408210480,1291.0,0.0,C2070612455,0.0,141615.37,0.0,0.0
36,CASH_IN,29531.18,C702786152,9883531.48,9913062.66,C738882545,105945.46,76414.28,0.0,0.0
11,TRANSFER,662431.32,C1652800043,0.0,0.0,C1209613575,738338.16,1361289.36,0.0,0.0
33,PAYMENT,5277.75,C391712848,182946.0,177668.25,M104084697,0.0,0.0,0.0,0.0
9,PAYMENT,28434.17,C1561990696,1685640.59,1657206.42,M1824345774,0.0,0.0,0.0,0.0
13,CASH_IN,346342.32,C931012860,3262193.28,3608535.6,C1099073452,7800542.29,7006019.64,0.0,0.0
12,PAYMENT,3245.55,C1999481215,0.0,0.0,M435833298,0.0,0.0,0.0,0.0
38,CASH_OUT,11313.65,C553109775,0.0,0.0,C1357542581,512494.99,523808.64,0.0,0.0
36,CASH_OUT,335756.62,C1310533580,0.0,0.0,C2099151059,1230834.6,1566591.22,0.0,0.0
44,PAYMENT,35375.03,C341329695,0.0,0.0,M1455326132,0.0,0.0,0.0,0.0
17,CASH_OUT,13188.87,C1587206967,0.0,0.0,C780597466,1044385.21,1057574.08,0.0,0.0
36,PAYMENT,17627.82,C1641560415,0.0,0.0,M38699684,0.0,0.0,0.0,0.0
9,PAYMENT,21492.89,C549631171,0.0,0.0,M1465950227,0.0,0.0,0.0,0.0
9,CASH_OUT,300048.56,C917141406,0.0,0.0,C1287328228,1728231.71,2215696.85,0.0,0.0
38,PAYMENT,5993.31,C647840158,0.0,0.0,M54604231,0.0,0.0,0.0,0.0
9,PAYMENT,1482.71,C1166776897,1512.0,29.29,M1184839467,0.0,0.0,0.0,0.0
14,CASH_IN,209969.27,C1858497368,4779603.08,4989572.35,C66968288,5051793.69,4833979.11,0.0,0.0
8,TRANSFER,1893337.96,C44325906,183611.0,0.0,C30079792,49418.08,1536473.0,0.0,0.0
34,CASH_OUT,216689.77,C426635113,6159.0,0.0,C479413501,128405.3,345095.07,0.0,0.0
14,CASH_OUT,22320.52,C821205316,0.0,0.0,C459332896,876083.86,1089230.38,0.0,0.0
38,PAYMENT,2498.62,C593134195,32791.96,30293.34,M161334232,0.0,0.0,0.0,0.0
13,TRANSFER,111096.59,C1757102295,0.0,0.0,C885249077,1674078.79,1785175.39,0.0,0.0
19,PAYMENT,15836.61,C1920692615,565579.0,549742.39,M588747578,0.0,0.0,0.0,0.0
9,CASH_OUT,153203.28,C1489021718,100685.0,0.0,C1906155222,0.0,515301.84,0.0,0.0
9,CASH_OUT,371293.09,C1032932530,0.0,0.0,C1923554921,532948.5,1290662.86,0.0,0.0
12,PAYMENT,28167.57,C279269522,0.0,0.0,M1409901547,0.0,0.0,0.0,0.0
41,CASH_IN,449510.94,C960230657,3294038.31,3743549.25,C401798547,589201.16,139690.22,0.0,0.0
41,TRANSFER,531154.12,C364903232,0.0,0.0,C1674077443,575353.91,1118967.56,0.0,0.0
38,CASH_IN,423322.98,C647614682,2053.0,425375.98,C2084519787,636066.51,212743.53,0.0,0.0
38,CASH_IN,336434.82,C1999823870,291932.0,628366.82,C1015412095,0.0,0.0,0.0,0.0
7,TRANSFER,1571619.71,C369749333,0.0,0.0,C1286084959,5658744.75,7488671.79,0.0,0.0
17,CASH_OUT,384738.02,C1378820767,941798.5,557060.48,C1099073452,6726993.42,7111731.44,0.0,0.0
21,CASH_OUT,271442.23,C149020818,0.0,0.0,C1830469844,851737.97,1661743.62,0.0,0.0
14,PAYMENT,11208.47,C611143308,0.0,0.0,M502157440,0.0,0.0,0.0,0.0
18,CASH_IN,380298.31,C1068061108,4138373.32,4518671.63,C34585299,455655.11,75356.81,0.0,0.0
34,CASH_OUT,154039.09,C2120942469,606.0,0.0,C116498072,147997.18,443454.59,0.0,0.0
40,PAYMENT,6351.88,C2002164323,0.0,0.0,M877723055,0.0,0.0,0.0,0.0
15,CASH_OUT,67228.56,C1966897317,0.0,0.0,C602316270,138290.04,205518.6,0.0,0.0
15,CASH_OUT,66869.73,C718326074,10591.0,0.0,C1691321020,2281356.79,2348226.52,0.0,0.0
43,PAYMENT,11984.8,C2052004807,69267.0,57282.2,M2126460100,0.0,0.0,0.0,0.0
18,TRANSFER,71746.02,C352387207,31408.0,0.0,C1342536294,49602.7,121348.72,0.0,0.0
18,PAYMENT,17330.59,C1930839202,578024.77,560694.18,M1641389549,0.0,0.0,0.0,0.0
35,CASH_OUT,130804.21,C1735841715,49334.0,0.0,C807496772,5102.0,135906.21,0.0,0.0
42,CASH_IN,104254.95,C506467487,4259999.87,4364254.82,C793410086,106679.2,2424.25,0.0,0.0
13,CASH_IN,192670.79,C1276905166,2661902.56,2854573.34,C54469808,4691161.36,4498490.58,0.0,0.0
16,CASH_OUT,331797.25,C1285416772,0.0,0.0,C837609553,716793.46,1343808.13,0.0,0.0
9,CASH_OUT,256704.09,C639171290,2404347.3,2147643.21,C173247103,2417718.18,3681147.46,0.0,0.0
40,TRANSFER,169294.6,C766642484,329879.0,160584.4,C126243401,160802.2,330096.8,0.0,0.0
43,CASH_OUT,25683.63,C927901443,0.0,0.0,C824781215,4007369.56,4033053.19,0.0,0.0
9,PAYMENT,36411.47,C769770356,0.0,0.0,M1642244574,0.0,0.0,0.0,0.0
18,CASH_OUT,166995.32,C2043922618,0.0,0.0,C1282235415,6312152.75,6479148.07,0.0,0.0
8,CASH_OUT,412651.19,C621826049,0.0,0.0,C1639464943,852603.91,631745.85,0.0,0.0
18,CASH_OUT,37459.04,C25457441,11094.0,0.0,C977923705,928799.77,971163.65,0.0,0.0
21,CASH_IN,148051.2,C344064601,8497307.19,8645358.39,C1624454952,4226277.82,4151759.7,0.0,0.0
19,PAYMENT,703.87,C1431978352,90206.0,89502.13,M283507916,0.0,0.0,0.0,0.0
11,CASH_IN,154847.2,C192544455,15018.0,169865.2,C1208843691,0.0,0.0,0.0,0.0
7,TRANSFER,171635.38,C273617420,30861.0,0.0,C1343134043,101420.75,99085.03,0.0,0.0
33,PAYMENT,14618.15,C365101729,0.0,0.0,M2103741963,0.0,0.0,0.0,0.0
36,PAYMENT,8057.85,C337763392,0.0,0.0,M1991961337,0.0,0.0,0.0,0.0
33,PAYMENT,22636.01,C1689648342,428256.27,405620.25,M916204013,0.0,0.0,0.0,0.0
42,CASH_OUT,344515.08,C737355148,13745.0,0.0,C1734839953,0.0,344515.08,0.0,0.0
41,CASH_IN,150060.69,C1053445297,168.0,150228.69,C705730384,0.0,0.0,0.0,0.0
18,CASH_IN,356739.92,C358410046,21583.0,378322.92,C1207043382,0.0,127316.8,0.0,0.0
38,PAYMENT,6094.61,C1823315820,0.0,0.0,M950199603,0.0,0.0,0.0,0.0
9,CASH_IN,339686.63,C165119015,129594.95,469281.57,C935808590,22518656.32,22577451.74,0.0,0.0
43,TRANSFER,843661.04,C707391727,31779.0,0.0,C1129912519,3523794.78,4579425.26,0.0,0.0
35,DEBIT,7417.71,C285555857,13827.0,6409.29,C576384658,183016.72,352623.72,0.0,0.0
43,PAYMENT,1339.54,C2020972726,0.0,0.0,M240238026,0.0,0.0,0.0,0.0
36,CASH_IN,322187.3,C912352352,7722925.3,8045112.6,C1015106733,460233.7,138046.4,0.0,0.0
14,PAYMENT,0.73,C1604456579,0.0,0.0,M713738447,0.0,0.0,0.0,0.0
16,CASH_OUT,86033.16,C1118148057,49733.0,0.0,C1909010482,0.0,86033.16,0.0,0.0
11,CASH_IN,269289.81,C1350838222,412370.4,681660.21,C97024831,574038.22,282236.27,0.0,0.0
18,PAYMENT,14178.29,C569514800,180338.84,166160.55,M1149985058,0.0,0.0,0.0,0.0
12,PAYMENT,17863.33,C1961269608,0.0,0.0,M2038683865,0.0,0.0,0.0,0.0
17,TRANSFER,746187.42,C2048921192,0.0,0.0,C872327092,5016017.85,5681491.4,0.0,0.0
16,CASH_IN,273532.46,C1515611421,24002.0,297534.46,C1429933378,3382.0,0.0,0.0,0.0
20,PAYMENT,3272.99,C854592653,331156.64,327883.65,M277951391,0.0,0.0,0.0,0.0
37,CASH_OUT,286658.47,C28269604,50302.0,0.0,C308403808,232377.7,519036.17,0.0,0.0
41,CASH_IN,50074.09,C1117469157,5887181.76,5937255.85,C1004476143,279602.29,229528.2,0.0,0.0
19,CASH_IN,40246.7,C1189111122,159679.72,199926.43,C1498789928,753797.85,1003986.25,0.0,0.0
42,CASH_OUT,2859.02,C1927637490,113027.0,110167.98,C1010095812,1831253.96,2194922.37,0.0,0.0
15,CASH_IN,165429.33,C2007554015,98.0,165527.33,C503013051,217319.75,51890.42,0.0,0.0
39,TRANSFER,211678.95,C323543629,0.0,0.0,C232694123,1905914.18,2117593.12,0.0,0.0
33,CASH_IN,511307.16,C1095037594,9768198.25,10279505.41,C598952964,770447.77,259140.6,0.0,0.0
11,CASH_OUT,244218.13,C1806281072,0.0,0.0,C2024377835,2806427.8,3618770.92,0.0,0.0
13,CASH_OUT,153684.35,C373660626,10310.0,0.0,C164068556,16661041.54,16814725.89,0.0,0.0
37,CASH_OUT,92813.57,C1675959268,184.0,0.0,C324538062,21039.0,0.0,0.0,0.0
20,CASH_OUT,59336.28,C101391176,20620.0,0.0,C756845508,884520.23,687422.15,0.0,0.0
16,CASH_IN,291626.24,C1016370209,43255.0,334881.24,C1118242187,11461.0,0.0,0.0,0.0
39,CASH_OUT,141289.83,C2069433420,4568.0,0.0,C59454547,1239173.57,1380463.41,0.0,0.0
20,PAYMENT,2987.64,C987789432,6014.0,3026.36,M395338169,0.0,0.0,0.0,0.0
37,CASH_OUT,218765.53,C1902416319,471852.0,253086.47,C2027640578,804115.38,1022880.91,0.0,0.0
43,PAYMENT,1934.39,C1672918150,3679.0,1744.61,M776389903,0.0,0.0,0.0,0.0
9,CASH_OUT,185317.64,C58723476,0.0,0.0,C1307933246,344409.84,746188.7,0.0,0.0
41,CASH_OUT,79333.79,C120388770,0.0,0.0,C213121728,984675.13,1064008.92,0.0,0.0
19,CASH_OUT,90694.84,C1407176563,0.0,0.0,C2113216196,588819.58,679514.42,0.0,0.0
40,CASH_IN,351367.68,C291856672,12065.0,363432.68,C1840284056,42573.4,0.0,0.0,0.0
44,PAYMENT,3426.82,C1910111816,37843.0,34416.18,M1915976116,0.0,0.0,0.0,0.0
38,PAYMENT,33235.58,C1677189969,96921.0,63685.42,M153788222,0.0,0.0,0.0,0.0
15,CASH_OUT,303294.93,C781181930,24072.0,0.0,C852505438,339407.78,642702.71,0.0,0.0
35,PAYMENT,2365.39,C1441768200,68.0,0.0,M2047746902,0.0,0.0,0.0,0.0
18,PAYMENT,10757.95,C444474448,0.0,0.0,M623378117,0.0,0.0,0.0,0.0
7,PAYMENT,23923.09,C242197804,14038.0,0.0,M787647307,0.0,0.0,0.0,0.0
35,PAYMENT,10423.57,C1767684211,146565.64,136142.07,M1578761674,0.0,0.0,0.0,0.0
19,CASH_OUT,473376.37,C2002578712,88783.0,0.0,C1409226178,232158.36,920272.73,0.0,0.0
18,CASH_OUT,168121.08,C2043705856,209121.0,40999.92,C2140846441,370186.67,686368.36,0.0,0.0
35,CASH_IN,202287.61,C1032914327,2073.0,204360.61,C1194392243,12835545.26,12633257.65,0.0,0.0
17,PAYMENT,5279.73,C1821934024,48776.34,43496.61,M1386895223,0.0,0.0,0.0,0.0
37,TRANSFER,1934993.29,C1184311584,0.0,0.0,C2128937759,4463137.4,6398130.69,0.0,0.0
20,PAYMENT,683.85,C1505556898,8241.0,7557.15,M259484348,0.0,0.0,0.0,0.0
9,CASH_OUT,319151.91,C273566461,0.0,0.0,C1375280409,625638.69,944790.6,0.0,0.0
37,PAYMENT,6947.16,C1761887245,243.0,0.0,M1454532003,0.0,0.0,0.0,0.0
37,CASH_OUT,202272.74,C1528173088,142193.0,0.0,C576440022,4398239.21,4600511.95,0.0,0.0
